8 0
18 1
80 2
88 3
85 4
84 5
89 6
81 7
87 8
86 9
83 10
82 11
11 12
15 13
50 14
58 15
55 16
54 17
59 18
51 19
57 20
56 21
53 22
52 23
5 24
4 25
14 26
40 27
48 28
45 29
44 30
49 31
41 32
47 33
46 34
43 35
42 36
9 37
19 38
90 39
98 40
95 41
94 42
99 43
91 44
97 45
96 46
93 47
92 48
1 49
7 50
17 51
70 52
78 53
75 54
74 55
79 56
71 57
77 58
76 59
73 60
72 61
6 62
16 63
60 64
68 65
65 66
64 67
69 68
61 69
67 70
66 71
63 72
62 73
10 74
13 75
30 76
38 77
35 78
34 79
39 80
31 81
37 82
36 83
33 84
32 85
3 86
12 87
20 88
28 89
25 90
24 91
29 92
21 93
27 94
26 95
23 96
22 97
2 98
0 99
