8 0
88 1
38 2
58 3
98 4
68 5
78 6
48 7
28 8
18 9
80 10
3 11
30 12
83 13
33 14
53 15
93 16
63 17
73 18
43 19
23 20
13 21
1 22
81 23
31 24
51 25
91 26
61 27
71 28
41 29
21 30
11 31
5 32
85 33
35 34
55 35
95 36
65 37
75 38
45 39
25 40
15 41
50 42
9 43
89 44
39 45
59 46
99 47
69 48
79 49
49 50
29 51
19 52
90 53
0 54
6 55
86 56
36 57
56 58
96 59
66 60
76 61
46 62
26 63
16 64
60 65
7 66
87 67
37 68
57 69
97 70
67 71
77 72
47 73
27 74
17 75
70 76
4 77
84 78
34 79
54 80
94 81
64 82
74 83
44 84
24 85
14 86
40 87
10 88
20 89
2 90
82 91
32 92
52 93
92 94
62 95
72 96
42 97
22 98
12 99
